"시도 (명)","강원",계,58383,71,538,1423,2089,3438,2723,913,793,1407,2077,3563,4548,5774,5838,4878,4691,5075,4218,4326
"시도 (명)","강원",남자,26935,43,287,733,1079,1751,1392,497,391,619,956,1821,2593,3374,3339,2419,1916,1780,1119,826
"시도 (명)","강원",여자,31448,28,251,690,1010,1687,1331,416,402,788,1121,1742,1955,2400,2499,2459,2775,3295,3099,3500
"시도 (명)","충북",계,48215,98,625,1498,1906,2825,2058,827,887,1447,1963,2971,4092,4529,4824,4029,3658,3868,3205,2905
"시도 (명)","충북",남자,22336,56,300,781,967,1426,1060,453,425,624,888,1498,2266,2662,2678,1990,1542,1322,891,507
"시도 (명)","충북",여자,25879,42,325,717,939,1399,998,374,462,823,1075,1473,1826,1867,2146,2039,2116,2546,2314,2398
"시도 (명)","충남",계,55753,93,771,1635,2337,3328,2188,852,869,1604,2282,3694,4529,5263,5458,4593,4414,4435,3773,3635
"시도 (명)","충남",남자,25852,47,356,834,1189,1694,1125,431,379,691,1018,1830,2564,3166,3081,2351,1844,1564,1005,683
"시도 (명)","충남",여자,29901,46,415,801,1148,1634,1063,421,490,913,1264,1864,1965,2097,2377,2242,2570,2871,2768,2952
"시도 (명)","전북",계,85041,118,1062,2703,3935,6098,4965,1683,1371,2454,3531,5758,6977,7774,7765,6623,6049,5891,5069,5215
"시도 (명)","전북",남자,38855,60,548,1374,2004,3049,2474,877,625,1053,1499,2628,3729,4499,4431,3365,2589,1966,1216,869
"시도 (명)","전북",여자,46186,58,514,1329,1931,3049,2491,806,746,1401,2032,3130,3248,3275,3334,3258,3460,3925,3853,4346
"시도 (명)","전남",계,72205,100,873,2163,2814,4648,3087,1184,1225,1949,2695,4350,5869,7053,6603,5642,5586,5491,5274,5599
"시도 (명)","전남",남자,34221,47,452,1076,1435,2405,1577,645,554,904,1310,2305,3479,4422,4029,3058,2502,1938,1208,875
"시도 (명)","전남",여자,37984,53,421,1087,1379,2243,1510,539,671,1045,1385,2045,2390,2631,2574,2584,3084,3553,4066,4724
"시도 (명)","경북",계,94941,103,929,2390,3338,5213,4127,1507,1459,2532,3879,6149,8004,9317,9311,8140,7166,7825,6861,6691
"시도 (명)","경북",남자,43132,45,464,1214,1755,2642,2123,822,718,1179,1829,3129,4572,5579,5167,3850,2858,2533,1609,1044
"시도 (명)","경북",여자,51809,58,465,1176,1583,2571,2004,685,741,1353,2050,3020,3432,3738,4144,4290,4308,5292,5252,5647
"시도 (명)","경남",계,94078,126,1008,2519,3495,5393,4201,1392,1356,2320,3665,6367,8381,9573,9593,8244,7286,7200,6015,5944
"시도 (명)","경남",남자,43794,63,475,1244,1775,2764,2081,768,653,1054,1725,3343,4807,5835,5582,4135,3042,2313,1288,847
"시도 (명)","경남",여자,50284,63,533,1275,1720,2629,2120,624,703,1266,1940,3024,3574,3738,4011,4109,4244,4887,4727,5097
"시도 (명)","제주",계,19658,39,299,740,1040,1505,1085,319,280,491,759,1286,1585,1768,1723,1445,1388,1261,1141,1504
"시도 (명)","제주",남자,9078,23,166,384,518,773,586,149,122,195,325,592,864,1070,990,759,625,448,294,195
"시도 (명)","제주",여자,10580,16,133,356,522,732,499,170,158,296,434,694,721,698,733,686,763,813,847,1309
